controller,trajectory,rmse_3d,rmse_xy,max_err,warmup_excluded_s,wall_time_s
pid,slow,0.011828210591391844,0.011514221406133692,0.017724376118868203,1.0,6.6
pid,normal,0.022235785433348646,0.0213872517559187,0.03310568874736168,1.0,1.6
pid,fast,0.08800077271372723,0.08598272707553006,0.14722234017839153,1.0,1.0
adrc,slow,0.01210962302257967,0.012092767293375713,0.03908609847820392,1.0,4.8
adrc,normal,0.03419472907501233,0.0336107383966065,0.07703049657491995,1.0,1.5
adrc,fast,0.08882839356660088,0.08350961268035824,0.2131186769128506,1.0,0.9
mppi_l1,slow,0.04158388127189827,0.03053460923278086,0.10704704676770947,1.0,12.3
mppi_l1,normal,0.045322671118234126,0.0352088552281623,0.07687705448611327,1.0,5.5
mppi_l1,fast,0.08871074218806511,0.07475982805217378,0.18679070718874596,1.0,3.6
mpc,slow,0.017822281025269292,0.01651146987415225,0.0514507024370271,1.0,41.0
mpc,normal,0.06281643419430143,0.06183622729100866,0.24068622828699032,1.0,18.9
mpc,fast,0.08266780450826351,0.0809729967540797,0.15960088389463856,1.0,18.7
datt,slow,0.021278223476932707,0.017082971183477014,0.038911903681889015,1.0,3.2
datt,normal,0.04764955237910029,0.04309502889921677,0.0845069712808748,1.0,1.1
datt,fast,0.09036240199295273,0.08743361717245904,0.1558184495794174,1.0,0.7
